params,mean_rmse,std_rmse,scores
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.543878965776386,0.6034560064282396,[63.6825189  62.14564095 62.61008074 62.00638711 62.27476712]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.543878965776386,0.6034560064282396,[63.6825189  62.14564095 62.61008074 62.00638711 62.27476712]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.543878965776386,0.6034560064282396,[63.6825189  62.14564095 62.61008074 62.00638711 62.27476712]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.197885037125424,0.8272915082787293,[59.83938583 57.98446818 57.69432187 57.75842137 57.71282793]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.197885037125424,0.8272915082787293,[59.83938583 57.98446818 57.69432187 57.75842137 57.71282793]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.197885037125424,0.8272915082787293,[59.83938583 57.98446818 57.69432187 57.75842137 57.71282793]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40269438598679,0.7021097958762,[71.67351015 69.72416321 70.39188565 69.78011339 70.44379953]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40269438598679,0.7021097958762,[71.67351015 69.72416321 70.39188565 69.78011339 70.44379953]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40269438598679,0.7021097958762,[71.67351015 69.72416321 70.39188565 69.78011339 70.44379953]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.54386034798343,0.5558659620708135,[65.512044   64.17070587 64.8192487  64.02601111 64.19129206]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.54386034798343,0.5558659620708135,[65.512044   64.17070587 64.8192487  64.02601111 64.19129206]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.54386034798343,0.5558659620708135,[65.512044   64.17070587 64.8192487  64.02601111 64.19129206]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.57568400703381,0.7280422302326137,[61.92948426 60.36329712 60.66881749 59.98684762 59.92997355]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.57568400703381,0.7280422302326137,[61.92948426 60.36329712 60.66881749 59.98684762 59.92997355]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.57568400703381,0.7280422302326137,[61.92948426 60.36329712 60.66881749 59.98684762 59.92997355]
